District,State ,Growth,Sex_Ratio,Literacy
Saharanpur,Uttar Pradesh,0.2,890.00,70.49
Meerut,Uttar Pradesh,0.15,886.00,72.84
Gonda,Uttar Pradesh,0.24,921.00,58.71
Rae Bareli,Uttar Pradesh,0.19,943.00,67.25
Barabanki,Uttar Pradesh,0.22,910.00,61.75
Ballia,Uttar Pradesh,0.17,937.00,70.94
Pratapgarh,Uttar Pradesh,0.18,998.00,70.09
Unnao,Uttar Pradesh,0.15,907.00,66.37
Deoria,Uttar Pradesh,0.14,1017.00,71.13
Shahjahanpur,Uttar Pradesh,0.18,872.00,59.54
Maharajganj,Uttar Pradesh,0.24,943.00,62.76
Fatehpur,Uttar Pradesh,0.14,901.00,67.43
Siddharth Nagar,Uttar Pradesh,0.25,976.00,59.25
Mathura,Uttar Pradesh,0.23,863.00,70.36
Firozabad,Uttar Pradesh,0.22,875.00,71.92
Mirzapur,Uttar Pradesh,0.18,903.00,68.48
Faizabad,Uttar Pradesh,0.18,962.00,68.73
Basti,Uttar Pradesh,0.18,963.00,67.22
Ambedkar Nagar,Uttar Pradesh,0.18,978.00,72.23
Rampur,Uttar Pradesh,0.21,909.00,53.34
Mau,Uttar Pradesh,0.19,979.00,73.09
Balrampur,Uttar Pradesh,0.28,928.00,49.51
Pilibhit,Uttar Pradesh,0.23,895.00,61.47
Jhansi,Uttar Pradesh,0.15,890.00,75.05
Chandauli,Uttar Pradesh,0.19,918.00,71.48
Farrukhabad,Uttar Pradesh,0.2,874.00,69.04
Mainpuri,Uttar Pradesh,0.17,881.00,75.99
Sonbhadra,Uttar Pradesh,0.27,918.00,64.03
Jyotiba Phule Nagar,Uttar Pradesh,0.23,910.00,63.84
Banda,Uttar Pradesh,0.17,863.00,66.67
Ramabai Nagar,Uttar Pradesh,0.15,865.00,75.78
Etah,Uttar Pradesh,0.14,873.00,70.81
Sant Kabir Nagar,Uttar Pradesh,0.21,972.00,66.72
Jalaun,Uttar Pradesh,0.16,865.00,73.75
Kannauj,Uttar Pradesh,0.19,879.00,72.7
Gautam Buddha Nagar,Uttar Pradesh,0.37,851.00,80.12
Kaushambi,Uttar Pradesh,0.24,908.00,61.28
Etawah,Uttar Pradesh,0.18,870.00,78.41
Sant Ravidas Nagar,Uttar Pradesh,0.17,955.00,68.97
Mahamaya Nagar,Uttar Pradesh,0.17,871.00,71.59
Kanshiram Nagar,Uttar Pradesh,0.17,880.00,61.02
Auraiya,Uttar Pradesh,0.17,864.00,78.95
Baghpat,Uttar Pradesh,0.12,861.00,72.01
Lalitpur,Uttar Pradesh,0.25,906.00,63.52
Shrawasti,Uttar Pradesh,-0.05,881.00,46.74
Hamirpur,Uttar Pradesh,0.06,861.00,68.77
Chitrakoot,Uttar Pradesh,0.29,879.00,65.05
Mahoba,Uttar Pradesh,0.24,878.00,65.27
Haridwar,Uttarakhand,0.31,880.00,73.43
Dehradun,Uttarakhand,0.32,902.00,84.25
Udham Singh Nagar,Uttarakhand,0.33,920.00,73.1
Nainital,Uttarakhand,0.25,934.00,83.88
Pauri Garhwal,Uttarakhand,-0.01,1103.00,82.02
Almora,Uttarakhand,-0.01,1139.00,80.47
Tehri Garhwal,Uttarakhand,0.02,1077.00,76.36
Pithoragarh,Uttarakhand,0.05,1020.00,82.25
Chamoli,Uttarakhand,0.06,1019.00,82.65
Uttarkashi,Uttarakhand,0.12,958.00,75.81
Bageshwar,Uttarakhand,0.04,1090.00,80.01
Champawat,Uttarakhand,0.16,980.00,79.83
Rudraprayag,Uttarakhand,0.07,1114.00,81.3
North Twenty Four Parganas,West Bengal,0.12,955.00,84.06
South Twenty Four Parganas,West Bengal,0.18,956.00,77.51
Barddhaman,West Bengal,0.12,945.00,76.21
Murshidabad,West Bengal,0.21,958.00,66.59
Paschim Medinipur,West Bengal,0.14,966.00,78
Hugli,West Bengal,0.09,961.00,81.8
Nadia,West Bengal,0.12,947.00,74.97
Purba Medinipur,West Bengal,0.15,938.00,87.02
Haora,West Bengal,0.14,939.00,83.31
Kolkata,West Bengal,-0.02,908.00,86.31
Maldah,West Bengal,0.21,944.00,61.73
Jalpaiguri,West Bengal,0.14,953.00,73.25
Bankura,West Bengal,0.13,957.00,70.26
Birbhum,West Bengal,0.16,956.00,70.68
Uttar Dinajpur,West Bengal,0.23,939.00,59.07
Puruliya,West Bengal,0.16,957.00,64.48
Koch Bihar,West Bengal,0.14,942.00,74.78
Darjiling,West Bengal,0.15,970.00,79.56
Dakshin Dinajpur,West Bengal,0.12,956.00,72.82
